Scan REF,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_oxidative_stress_1;Wt_oxidative_stress_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_glucose_starvation_1;Wt_glucose_starvation_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_heat_stress_1;Wt_heat_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_osmotic_stress_1;Wt_osmotic_stress_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_glucose_starvation_1;Wt_msn24_glucose_starvation_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Wt_msn24_osmotic_stress_1;Wt_msn24_osmotic_stress_2,Msn2_overexpression_1;Msn2_overexpression_2,Msn2_overexpression_1;Msn2_overexpression_2,Msn2_overexpression_1;Msn2_overexpression_2
Reporter REF,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2,Software Unknown:MR_Norm_log2,Software Unknown:SD_Norm_log2,Software Unknown:CV_Norm_log2
CAGL0A00143g,null,null,null,1.101258562,0.105013078,0.158532467,1.01902884,2.035302951,1.36005708,1.441270453,0.770896671,0.496700424,-1.732042638,0.239508063,0.101006715,2.71197874,0.310942116,0.292612686,-0.776548899,0.207648722,0.0981
CAGL0A00165g,null,null,null,-3.098915481,0.327353943,0.502839757,null,null,null,-0.722758478,0.668141221,0.401468575,null,null,null,null,null,null,-0.22406822,0.144965715,0.137102175
CAGL0A00187g,-1.06146131,null,null,0.405981915,0.162089004,0.252959276,0.136471566,0.700718028,0.584102165,0.740135728,0.398185042,0.303284551,null,null,null,null,null,null,-0.141795645,0.105615518,0.110779165
CAGL0A00209g,0.241597326,0.393300606,0.328878858,0.231740742,0.544437352,0.586987214,-0.497691721,0.233460171,0.172143251,-0.296639164,0.61141158,0.76645086,0.364541907,0.146037942,0.24670437,-0.0251,0.047357972,0.699418031,-0.209514477,0.0716,0.100249976
CAGL0A00231g,-0.864217134,0.528906414,1.193543484,-1.443316159,0.14062491,0.213446697,null,null,null,-0.809092066,0.450494164,0.339465038,-0.981365826,null,null,-0.394579537,0.151043981,0.202825177,-0.525102209,0.373091409,0.291019809
CAGL0A00253g,-0.0465,0.557832577,0.684204616,-2.032094471,1.743713628,0.672287557,0.484917873,0.424571607,0.357342646,-3.579896761,0.279343171,0.221789299,-0.385853144,0.390281164,0.318093099,0.425193877,0.178063374,0.217894869,0.0265,0.0313,0.0194
CAGL0A00275g,-0.394918696,0.385264135,0.561235833,0.101121746,0.379635288,0.673312989,-0.191604388,0.206863705,0.22465268,-0.478261438,0.170164322,0.147590365,-0.504152026,0.254166862,0.031,-0.415744462,0.274758842,0.645783294,-0.27525754,0.226306951,0.191687501
CAGL0A00341g,0.0687,1.610235041,0.599007399,1.867989095,0.435042272,0.678004064,0.323187963,0.880174306,0.534658523,0.250794962,0.0505,0.0667,1.325057616,null,null,0.829088444,null,null,1.574097613,null,null
CAGL0A00363g,0.468475647,0.946045699,0.233939947,-0.978923166,0.333964179,0.737343626,1.577495121,0.326771973,0.21321976,0.441669196,0.331252914,0.102926376,-1.308116599,0.448060701,0.330173703,0.344053969,0.742807313,0.0225,-0.269182178,0.051539747,0.00597
