Source Name	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]
Sample 25	Candida glabrata	CAGL0K08756g::TRP1/his5D/trp1D/ura3D	CgYap5 mutant	whole organism	P-MTAB-48620	P-MTAB-48607	P-MTAB-48609	Sample 25	P-MTAB-48610	Sample 25:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_3	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_3.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap5 mutant	bathophenanthroline disulfonate	0.5	millimolar
Sample 27	Candida glabrata	CAGL0K08756g::TRP1/his5D/trp1D/ura3D	CgYap5 mutant	whole organism	P-MTAB-48620	P-MTAB-48607	P-MTAB-48609	Sample 27	P-MTAB-48610	Sample 27:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap5 mutant	bathophenanthroline disulfonate	0.5	millimolar
Sample 39	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48607	P-MTAB-48609	Sample 39	P-MTAB-48610	Sample 39:Cy3	Cy3	P-MTAB-48611	US82900153_252794010015_S01_GE2_107_Sep09_2_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US82900153_252794010015_S01_GE2_107_Sep09_2_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	bathophenanthroline disulfonate	0.5	millimolar
Sample 37	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48607	P-MTAB-48609	Sample 37	P-MTAB-48610	Sample 37:Cy5	Cy5	P-MTAB-48611	US92003687_252794010014_S01_GE2_107_Sep09_2_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010014_S01_GE2_107_Sep09_2_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	bathophenanthroline disulfonate	0.5	millimolar
Sample 26	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48607	P-MTAB-48609	Sample 26	P-MTAB-48610	Sample 26:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_3	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_3.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	bathophenanthroline disulfonate	0.5	millimolar
Sample 28	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48607	P-MTAB-48609	Sample 28	P-MTAB-48610	Sample 28:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_2_4	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_2_4.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	bathophenanthroline disulfonate	0.5	millimolar
Sample 5	Candida glabrata	CAGL0F03069g::TRP1/his5D/trp1D/ura3D	CgYap2 mutant	whole organism	P-MTAB-48620	P-MTAB-48604	P-MTAB-48609	Sample 5	P-MTAB-48610	Sample 5:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap2 mutant	cadmium chloride	2	millimolar
Sample 7	Candida glabrata	CAGL0F03069g::TRP1/his5D/trp1D/ura3D	CgYap2 mutant	whole organism	P-MTAB-48620	P-MTAB-48604	P-MTAB-48609	Sample 7	P-MTAB-48610	Sample 7:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	CgYap2 mutant	cadmium chloride	2	millimolar
Sample 6	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48604	P-MTAB-48609	Sample 6	P-MTAB-48610	Sample 6:Cy3	Cy3	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_1	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_1.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	cadmium chloride	2	millimolar
Sample 8	Candida glabrata	his5D/trp1D/ura3D	wild type genotype	whole organism	P-MTAB-48620	P-MTAB-48604	P-MTAB-48609	Sample 8	P-MTAB-48610	Sample 8:Cy5	Cy5	P-MTAB-48611	US92003687_252794010015_S01_GE2_107_Sep09_1_2	array assay	A-MEXP-2402	ArrayExpress	P-MTAB-48612	US92003687_252794010015_S01_GE2_107_Sep09_1_2.gpr	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-4457/E-MTAB-4457.raw.1.zip	wild type genotype	cadmium chloride	2	millimolar
