GENE	Stressed	Stressed CV	Skn7 Stressed	Skn7 Stressed CV	Yap1 Stressed	Yap1 Stressed CV	Skn7Yap1 Stressed	Skn7Yap1 Stressed CV
CAGL0A00110g	-0.18899034	0.32436718	-0.07709051	0.557335306	0.366500226	2.009066719	0.018592695	0.36463848
CAGL0A00121g	0.303984802	0.084450742	-0.903867616	0.273883074	-1.012879838	0.169072517	-0.098725562	0.62181468
CAGL0A00143g			-0.159179531	0.629304769	0.266657422	0.284730279	-0.4123747	0.211004768
CAGL0A00165g			0.260960078		-0.119233819	0.106885372	0.126081347	0.287060881
CAGL0A00187g	-1.06146131				0.581268896	2.631383938	0.463494286	0.557705809
CAGL0A00209g	0.241597326	0.328878858	-0.096881596	0.095117269	-0.002140085	0.597052675	-0.01423084	0.204910364
CAGL0A00231g	-0.864217134	1.193543484	0.184597545		0.172188412	0.135991896	-0.166532628	0.151936452
CAGL0A00253g	-0.046486904	0.684204616	-0.018622692	0.256153295	0.418087462	0.205333524	0.017055496	0.201998286
CAGL0A00275g	-0.394918696	0.561235833	0.076310876	0.319912728	0.195500333	0.685210875	0.042217751	0.168807277
CAGL0A00297g			-0.869296308		-0.120564481	0.040705872	0.531039846	0.178263618
CAGL0A00319g							0.065417948	0.244909928
CAGL0A00341g	0.0687412	0.599007399	-0.467604892	0.083186411	-0.949816695	0.174639714	0.033339467	0.165467751
CAGL0A00363g	0.468475647	0.233939947	-0.694864936	0.295445729	-0.58618457	0.41108606	1.049678412	0.398795619
CAGL0A00385g	-0.261328698	0.484437975	0.003105911		0.386331395	0.501282552	-0.279515676	0.348313191
CAGL0A00407g	1.312310758	0.805851176	-0.090389301	0.350578372	-0.524015838	0.472826835	0.643322342	0.07439249
CAGL0A00429g	-0.323713971	0.461690244	-0.105456423	0.324602702	-0.034833372	0.276416958	0.230602231	0.134597124
CAGL0A00451g	1.042972737	0.034660937			-0.099450931		1.311218558	0.491383113
CAGL0A00473g	-0.430969616	0.593444826	-0.181060353	0.097000723	0.504317505	0.008152195	-0.547824516	0.214678039
CAGL0A00495g	-0.682558887	0.043500631	-0.361341682	0.240450248	-0.41900746	0.262409209	-0.813453305	0.480151246
CAGL0A00517g	0.427372811	1.364942733	-0.248856834	0.027727602	-0.06200774	0.066616075	0.484519373	0.354853065
CAGL0A00539g	-0.445215557	2.11089822	0.33878452	0.261106438	-0.097543573	0.02363464	-0.190999523	0.22310379
CAGL0A00561g					0.442516972	1.889490552	0.482639016	0.499013076
CAGL0A00583g	-0.316216413	1.24145877			0.242767824	0.225776294	-0.011769253	0.32556383
CAGL0A00605g					0.076762182	0.139410477	-1.166183111	
CAGL0A00627g	-0.646001529	1.391939664	0.609624555		0.197652357	0.797797678	-0.457787679	0.10514947
CAGL0A00715g			-0.131097426					
CAGL0A00737g	-0.499355756	0.178227699	-0.448040278	0.068131948	-0.199814973	0.007005475	-1.324534599	0.344399815
CAGL0A00737g	-0.733108552	0.254842582	-0.698847796	0.036065425	-0.383689322	0.115826015	-0.144797324	
CAGL0A00781g			0.388205023	0.346323271	-0.142476168	0.162680217	0.172153715	0.361353481
CAGL0A00803g			0.529353227	2.086333683	0.134569594	0.01577282	0.186757959	0.529402719
CAGL0A00825g			0.18586171	0.196436476	0.227456237	0.094201766	-0.401496262	0.08390804
CAGL0A00847g					0.04872604		-0.405844663	0.291635001
CAGL0A00869g							-0.342844932	0.309200539
CAGL0A00891g			0.362397333		-0.17212575	0.105078065	-0.140240227	0.496305298
CAGL0A00913g					0.088147116	0.056816926	-0.382068424	0.193925185
CAGL0A00935g			0.062223546		0.401962261		0.197901561	0.250725239
CAGL0A00957g			-0.036207013		0.079767133	0.296120186	-0.25532252	0.672551819
CAGL0A01001g					0.045791978	0.036782082	-0.17840866	0.381764742
CAGL0A01023g	-0.573004848	1.426607678	0.361187525		-1.511708898		-0.644872605	0.088272314
CAGL0A01045g	-0.147969913	0.122700486	-0.212487202	0.159077303	-0.504517272	0.235132275	-0.184390107	0.183671956
CAGL0A01067g	-0.608857131	0.092740133	0.323967141	0.158168212			-0.423665753	0.139308316
CAGL0A01089g	0.421736373	3.21187774	-0.550712858	0.309176276	0.209640015	0.103405872	0.143463905	0.468174931
CAGL0A01133g	0.751168554		-2.326599535		0.599654674		0.116810377	0.168370213
CAGL0A01155g					0.245504902	0.130136033	0.103040114	
CAGL0A01177g	-0.740590458		-0.651357868	0.298755245	0.286427678	0.043458514	0.630486044	0.381860353
CAGL0A01199g	-0.217822771	0.15373741	0.261198368	0.23136501	-0.01599605	0.646282881	-0.597862548	0.183832889
CAGL0A01221g	-0.422748094	0.375376375	0.335036308	0.238405514	0.51104559	0.025389936	-1.038684997	0.14971431
CAGL0A01243g			0.140609435		-0.295354251	0.244466791	1.622766827	0.20543958
CAGL0A01364g			-0.257697635	0.640138088	0.095411503	0.063243924	-0.320344198	0.428650994
CAGL0A01386g	-0.317687544		0.054908341		0.524230828	0.12563558	-0.095857525	0.305044617
CAGL0A01430g	0.261030708	0.427551366	-0.526490928	0.035115965	-0.557332408	0.039913779	0.874024415	0.409765181
CAGL0A01452g			-0.392780361		0.479649693	0.06491332	-0.52182565	0.389538534
CAGL0A01474g	-0.360582233	1.69096704	0.195944886		0.301032194	0.130285895	-0.356798176	0.285844538
CAGL0A01540g	0.051071215	0.949611342	0.27150069	0.519123282	-0.100978036	0.563562112	-1.140151493	0.145919706
CAGL0A01562g	0.242117785	0.955834373	0.368320482	0.329773965	-0.071317523	0.780854793	-0.542456435	0.095150439
CAGL0A01606g			0.017000353					
CAGL0A01628g	-0.229236609	1.238846319	0.087759946	0.123094417	-0.012623899	0.011394353	-0.315030838	0.108353314
CAGL0A01672g	0.162522054	0.333576088	-0.888596203	0.225168461	-0.051068248	0.097078897	0.204914592	0.225171888
CAGL0A01694g							-0.644014619	0.366851926
CAGL0A01716g	1.386419446		-0.184179365	0.083552963	-0.923731964	0.02211626	1.109101476	0.160355959
CAGL0A01738g	-0.014050537	0.495349921	-0.323750882	0.177000187	-0.420423934	0.099629426	0.144423098	0.131079961
CAGL0A01760g			0.266140317		-0.241605295	0.112290082	0.700856495	0.225347451
CAGL0A01782g	-0.719312601	0.239112653	-0.038211357	0.066237148	0.074926654	0.030474197	-1.290178002	0.490967509
CAGL0A01804g	-1.634198247	0.402217188	-0.107346461	0.249172934	0.090405816	0.107081087	-2.042202922	0.221270109
CAGL0A01826g								
CAGL0A01848g	0.300540602	0.282167638	-0.063076203	0.198726424	-0.100105373	0.016085938	-0.042349025	0.228991327
CAGL0A01870g					0.222180587		0.348067106	0.366794139
CAGL0A01892g			0.386456074	0.036784008	0.437185807	1.518738137	-0.818773727	
CAGL0A01914g	-0.504006338	0.419070315	-0.048615026	0.254260294	0.181266278	0.029325063	-0.759503227	0.197439255
CAGL0A01958g	-0.118815358	0.475928413	0.698782963	0.35635567	0.911363927	1.418804712	-0.625634779	0.08489971
CAGL0A01980g	-0.612797773		-0.549641965		0.095060922	0.040515386	0.358390781	0.166849732
CAGL0A02002g							0.309669743	
CAGL0A02024g			0.10057172		-0.18585811	0.044967734	0.438328138	0.350693136
CAGL0A02046g	0.222038143	1.623516694	0.075196908	0.075844994	-0.030225715	0.191629238	0.523545431	0.209067092
CAGL0A02090g	-0.362382976	0.417660441	-0.138373388	0.219496134	-0.143682581	0.184991272	-0.543086814	0.129465168
CAGL0A02112g	0.002938466	0.394883376	-0.352732427	0.520160308	-0.366621388	0.148859033	-0.192506356	0.12646792
CAGL0A02134g			-0.021769769		0.130864127	0.132781124	0.036344548	0.170099996
CAGL0A02145g							-0.510027003	0.058740826
CAGL0A02189g	-0.388755337	0.389182633	-0.13025177	0.299486924	0.047402367	0.787269401	-0.403176735	0.653160252
CAGL0A02211g	-0.682678345	0.188272139	-0.968238843	0.31117359	-1.471736415	0.085150811	-1.477584142	0.319301956
CAGL0A02211g	-0.889824865	0.139113888	-0.696373069	0.163850089	-0.795157453	0.160585793	-1.394495227	0.160256482
