Scan REF,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,E01-08-dd.gpr;E01-10-dd.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,htu_yap04mM_2_1.gpr;htu_yap04mM_add1.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,mena_wt.gpr;mena_wt22.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,htu_skn04mM_2.gpr;htu_skn04mM_add.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,mena_sy.gpr;mena_sy22.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr,E01-07-WT.gpr;E01-09-WT.gpr
Reporter REF,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2,Unknown:MR_Norm_log2,Unknown:SD_Norm_log2,Unknown:CV_Norm_log2
CAGL0A00110g,0.018592695,0.358596739,0.36463848,0.366500226,1.751767386,2.009066719,-0.481907067,0.778565007,0.285638201,-0.07709051,0.603359924,0.557335306,-0.39075759,0.507341016,0.574015857,-0.18899034,0.755897955,0.32436718
CAGL0A00121g,-0.098725562,0.55327647,0.62181468,-1.012879838,0.718078319,0.169072517,-0.581014027,0.294658422,0.60119027,-0.903867616,0.467553716,0.273883074,-0.357269164,0.159550404,0.274903537,0.303984802,0.79960804,0.084450742
CAGL0A00143g,-0.4123747,0.30713857,0.211004768,0.266657422,0.386951823,0.284730279,1.697730431,null,null,-0.159179531,1.079354,0.629304769,null,null,null,null,null,null
CAGL0A00165g,0.126081347,0.531528805,0.287060881,-0.119233819,0.123942659,0.106885372,null,null,null,0.260960078,null,null,null,null,null,null,null,null
CAGL0A00187g,0.463494286,0.827957837,0.557705809,0.581268896,1.128824948,2.631383938,0.624829884,null,null,null,null,null,0.326670441,1.30980662,0.681119916,-1.06146131,null,null
CAGL0A00209g,-0.01423084,0.213749123,0.204910364,-0.002140085,0.1365289,0.597052675,0.578345761,0.507925974,0.799623422,-0.096881596,0.139450661,0.095117269,-0.579432328,0.500613429,0.404471717,0.241597326,0.393300606,0.328878858
CAGL0A00231g,-0.166532628,0.195224816,0.151936452,0.172188412,0.170309475,0.135991896,-0.380509908,0.416262615,0.715481848,0.184597545,null,null,0.162335015,0.685899098,0.607203564,-0.864217134,0.528906414,1.193543484
CAGL0A00253g,0.017055496,0.287005888,0.201998286,0.418087462,0.453539517,0.205333524,1.547855423,0.323702564,0.805431306,-0.018622692,0.366741007,0.256153295,0.021368891,0.434678968,0.735314827,-0.046486904,0.557832577,0.684204616
CAGL0A00275g,0.042217751,0.240771047,0.168807277,0.195500333,0.287093649,0.685210875,-0.407039216,0.774145503,0.299517324,0.076310876,0.204719046,0.319912728,-0.218341177,0.947274238,0.215599063,-0.394918696,0.385264135,0.561235833
CAGL0A00297g,0.531039846,0.321272452,0.178263618,-0.120564481,0.018227747,0.040705872,-0.386961837,0.06163855,0.52241164,-0.869296308,null,null,0.644529385,null,null,null,null,null
CAGL0A00319g,0.065417948,0.198225352,0.244909928,null,null,null,null,null,null,null,null,null,0.337034987,null,null,null,null,null
CAGL0A00341g,0.033339467,0.19871849,0.165467751,-0.949816695,0.684907116,0.174639714,-0.765501902,0.304486995,0.488254857,-0.467604892,0.183981513,0.083186411,null,null,null,0.0687412,1.610235041,0.599007399
CAGL0A00363g,1.049678412,0.339984511,0.398795619,-0.58618457,1.044172081,0.41108606,0.211257634,0.875522225,0.167420576,-0.694864936,0.302243071,0.295445729,-0.099944728,0.584969865,0.652984379,0.468475647,0.946045699,0.233939947
CAGL0A00385g,-0.279515676,0.278686892,0.348313191,0.386331395,0.198885077,0.501282552,-0.122854103,0.476171629,1.085146395,0.003105911,null,null,-0.352163299,0.74462644,1.363589436,-0.261328698,0.716589362,0.484437975
CAGL0A00407g,0.643322342,0.134371987,0.07439249,-0.524015838,0.233088635,0.472826835,0.622824768,0.589294588,1.14855316,-0.090389301,0.501523205,0.350578372,-0.102046044,0.219119873,0.331773999,1.312310758,0.25648799,0.805851176
CAGL0A00429g,0.230602231,0.234091097,0.134597124,-0.034833372,0.308942127,0.276416958,null,null,null,-0.105456423,0.288738341,0.324602702,-1.701366638,0.42233135,3.253058027,-0.323713971,0.311428153,0.461690244
CAGL0A00451g,1.311218558,0.423968989,0.491383113,-0.099450931,null,null,-0.387914304,0.456870292,1.146671457,null,null,null,0.344529524,null,null,1.042972737,0.057751334,0.034660937
