SEQ_NAME	START	END	REP1	REP2	REP3
chr0A	100041	100100	0.0637	0.026	-0.0086	
chr0A	100246	100305	0.0048	0.0208	-0.0683	
chr0A	100489	100548	0.1798	0.0179	0.0002	
chr0A	100745	100804	0.066	-0.0031	-0.0043	
chr0A	101175	101234	0.3004	0.2548	0.0856	
chr0A	101401	101460	0.2808	0.232	0.0726	
chr0A	101804	101863	0.0789	0.071	0.0574	
chr0A	102091	102150	0.1275	0.0855	0.2257	
chr0A	1022	1081	0.0176	-0.0391	-0.0303	
chr0A	102321	102380	0.096	0.0198	-0.1253	
chr0A	102659	102718	0.0318	0.0637	0.0529	
chr0A	102848	102907	0.1883	0.0704	0.1987	
chr0A	103208	103267	0.1679	0.1171	0.0453	
chr0A	10332	10391	-0.1437	-0.1582	-0.0681	
chr0A	103575	103634	0.1159	0.0904	0.0459	
chr0A	103875	103934	-0.098	-0.1695	-0.1878	
chr0A	104219	104278	-0.0061	0.0364	0	
chr0A	104431	104490	-0.1046	-0.0606	-0.0854	
chr0A	104769	104828	-0.0907	0.0314	0.0164	
chr0A	105062	105121	0.1706	0.1381	0.0837	
chr0A	105272	105331	0.217	0.143	0.0582	
chr0A	105675	105734	0.0862	0.0751	0.1981	
chr0A	105812	105871	0.0082	-0.0269	0.0487	
chr0A	10604	10663	-0.1513	-0.1217	-0.054	
chr0A	106216	106275	-0.0292	-0.1804	0.0233	
chr0A	106391	106450	0.0576	0.0522	0.1261	
chr0A	106778	106837	0.0724	-0.0612	0.0182	
chr0A	10696	10755	-0.1617	-0.111	-0.0521	
chr0A	107019	107078	0.1017	0.0465	0.0759	
chr0A	107258	107317	0.0614	0.1099	0.1867	
chr0A	107553	107612	0.0126	-0.0002	0.0356	
chr0A	107894	107953	0.0712	-0.0276	-0.0437	
chr0A	108161	108220	0.1101	0.0836	0.0683	
chr0A	108327	108386	0.228	0.2458	0.1676	
chr0A	108647	108706	-0.0294	-0.0629	0.0147	
chr0A	108903	108962	-0.04	-0.0547	-0.0092	
chr0A	109082	109141	-0.0704	-0.0161	-0.0188	
chr0A	109444	109503	-0.0512	-0.0418	-0.0217	
chr0A	109823	109882	-0.0095	0.0282	-0.0406	
chr0A	110005	110064	-0.0143	0.0419	0.0396	
chr0A	110334	110393	0.0244	0.0484	0.0621	
chr0A	110836	110895	-0.1581	-0.134	-0.033	
chr0A	11112	11171	-0.1803	-0.2009	-0.1235	
chr0A	111131	111190	0.022	0.0061	-0.0202	
chr0A	111342	111401	0.1513	0.071	0.1617	
chr0A	111554	111613	-0.1388	-0.1688	-0.0223	
chr0A	111874	111933	0.14	0.0911	-0.0194	
chr0A	112151	112210	0.1769	0.273	0.0267	
chr0A	112524	112583	0	0.0441	0.0211	
chr0A	112746	112805	-0.1206	-0.1578	-0.0725	
chr0A	112997	113056	-0.0915	-0.1146	-0.0193	
chr0A	113240	113299	-0.1321	-0.1255	-0.0761	
chr0A	113541	113600	-0.1285	-0.0442	0.0174	
chr0A	113870	113929	-0.1065	-0.1072	-0.0645	
chr0A	114165	114224	-0.1442	-0.0753	0.1002	
chr0A	114706	114765	-0.0523	0.0292	-0.0088	
chr0A	11489	11548	-0.199	-0.1425	0.0271	
chr0A	114933	114992	0.8274	0.7269	0.317	
chr0A	115339	115398	-0.1019	-0.0233	-0.0348	
chr0A	115420	115479	-0.0134	0.0187	0.0613	
chr0A	115841	115900	0.0647	0.0617	0.0531	
chr0A	116216	116275	0.0926	0.0965	0.0138	
chr0A	116526	116585	0.2226	0.2127	0.1449	
chr0A	116871	116930	0.0419	0.146	0.0362	
chr0A	117219	117278	0.0308	0.048	0.018	
chr0A	117312	117371	-0.0186	0.0317	0.095	
chr0A	117597	117656	0.1258	0.1211	-0.0021	
chr0A	11770	11829	-0.1235	-0.0716	-0.1882	
