START	END	STRAND	Lelandais log2 chip-seq 2
2636	1608	-	-0.2078563281785675
4809	1608	-	-0.3093280581077289
4809	2671	-	-0.3093280581077289
11739	12689	+	-3.273018494406416
15012	15233	+	-1.2768402053588244
18876	18037	-	0.9730329523997308
21757	19487	-	0.7836063192849954
22260	24440	+	0.9663916073571803
25241	27622	+	0.4412690408520235
28586	27915	-	-0.23011978336105882
29069	29869	+	0.5049941960177411
30775	30179	-	1.2915544458438435
30978	32507	+	0.4432343911094959
33056	33625	+	0.446683125895309
36349	33995	-	2.0204641025597154
40371	37162	-	-0.1926450779423959
41556	42320	+	-0.1926450779423959
44030	42636	-	0.6658824961047236
47557	50880	+	0.0
53497	51137	-	0.6585655907611543
57722	55014	-	0.6244908649077937
58830	62198	+	0.7475155135071161
63225	62416	-	0.6072611678299307
64948	63710	-	0.6374299206152918
65286	67226	+	0.15919859484925394
69203	67281	-	0.4325857004896909
69832	70485	+	0.4284580150411653
70937	71320	+	0.4325857004896909
71735	71627	-	0.14037265636455232
73333	73623	+	1.6374299206152918
74767	76416	+	2.548436624696042
77251	77360	+	-0.8826430493618413
77578	81366	+	-0.8826430493618413
84913	81425	-	0.7345388567716662
85331	86425	+	0.6166713604484945
87540	86551	-	0.40209844357134567
87841	90396	+	0.3625700793847084
92752	90494	-	0.29444735846525527
92985	97265	+	1.1030934929641036
98052	97372	-	0.45734830413680816
98272	99483	+	0.30146399232764665
100646	100410	-	1.0809199953835675
101642	102301	+	1.0809199953835675
102793	104028	+	0.9556058806415466
106316	104865	-	0.37756279386018105
106866	108791	+	0.3107008394641082
110616	109009	-	1.0062051495267081
111480	111689	+	0.12832409697553937
112037	114442	+	1.0062051495267081
114809	116638	+	0.6293566200796097
117020	119572	+	0.46428101829869295
119731	120042	+	1.2410080995037949
121067	122908	+	0.9128893362299616
125780	126661	+	0.9475325801058645
129101	127506	-	1.2181801700495334
131362	135567	+	0.6384918971379513
136262	137695	+	0.9648105715377
140305	144693	+	0.6480146712564578
145388	146833	+	0.632268215499513
147313	149436	+	0.816288046827612
149750	152194	+	1.9004643264490855
153155	154933	+	-0.27130202181739427
155457	155554	+	1.8166089309572464
156342	155862	-	0.0
157645	158112	+	0.0
158780	159037	+	1.1363214712127805
159914	159165	-	1.6309748984779926
161327	162601	+	1.6309748984779926
163770	164126	+	1.6880559936852597
166920	164836	-	0.632695111505258
169167	167242	-	0.6341285575250407
169567	170202	+	1.2655901107375502
170940	172349	+	0.8314942756430218
174425	172608	-	1.2039551730797717
176724	175018	-	0.310787537282162
181871	180180	-	0.5849625007211562
185779	184013	-	-0.21538903359868555
190704	187900	-	0.11619301750452288
193719	191335	-	-0.08524728661851098
194560	194826	+	-0.08524728661851098
195146	206377	+	0.6814704815745026
206600	206530	-	1.3862785062974199
206981	208201	+	1.9526124974702177
210338	208311	-	0.7038679059899753
211087	210707	-	-0.16349873228287934
213901	211829	-	0.6057210608879537
215768	218098	+	0.49880585697144175
218415	218487	+	0.9510903995190536
220676	218655	-	-0.6214883767462701
221288	222934	+	-0.3661278987978974
224395	223148	-	0.32496215497699554
225263	226444	+	-0.8042755291256323
226691	226620	-	0.7758766905844362
228762	226945	-	0.2982238342960939
231214	229556	-	1.0899813668376657
237469	235820	-	-0.5517956367859569
244683	245501	+	-1.212303603712864
248522	249340	+	0.6092100469678334
250851	251690	+	2.111645355828909
253862	252192	-	0.9572955490457618
254861	255127	+	0.9572955490457618
257581	256250	-	-0.22627585582367601
258667	259626	+	0.08949815083910265
261421	260084	-	0.7104933828050153
263575	261812	-	1.788696757325358
263902	263974	+	1.289885625483225
265873	264152	-	1.263034405833794
266055	268655	+	0.5552151573271042
269090	270040	+	-0.36642755505422225
270481	271440	+	1.1079153391668874
272874	271684	-	0.9677235969762438
276915	278054	+	0.6449050411774384
278467	281085	+	1.6066575718204752
281463	281161	-	1.4677789613508172
281637	283403	+	1.5621526178130702
286783	283634	-	0.5770573026358101
288148	287318	-	1.4991017640673183
290448	288373	-	1.2410080995037949
290595	291704	+	0.3692338096657191
291888	292160	+	1.3931448934300015
292470	293759	+	0.9762318340670503
295291	293966	-	0.41850135458241516
295534	296371	+	1.0
296851	297783	+	0.19592020997525694
300358	297872	-	0.4667810743728422
301944	300736	-	1.031364170909335
302262	302576	+	-0.17283659686221564
302938	304443	+	1.031364170909335
305775	304789	-	0.8443491295398056
306353	306925	+	0.8443491295398056
308032	307103	-	0.8687554667217473
308323	308547	+	0.43998385640907467
310062	308689	-	0.5849625007211562
310323	311828	+	0.8881071199291027
312174	312479	+	0.31530515269362724
313334	312728	-	0.5277376320282061
313662	316040	+	0.8608372523283746
316806	316567	-	3.282439805006387
317961	319910	+	3.282439805006387
320671	322666	+	0.5343364276511882
323377	323030	-	0.9078817980115687
324013	324342	+	1.3962602922482157
325306	324581	-	0.7689944483588441
326594	325788	-	1.1995644918821864
328577	331105	+	0.16689730874474445
331579	333465	+	1.736965594166206
335069	333822	-	-0.16505924627049637
337676	336117	-	0.914270125974116
338516	339868	+	0.914270125974116
340501	342378	+	0.28950661719498505
342855	343420	+	0.2630344058337938
345759	343987	-	1.1970368470595536
347362	346748	-	1.4167872812288036
348708	349451	+	1.4167872812288036
349884	353339	+	-0.2895066171949848
353884	355344	+	-0.4447848426728958
357035	355620	-	1.5665839714063017
359678	357639	-	1.468346343445045
360213	360141	-	1.468346343445045
361030	360779	-	-0.516249750637142
364813	361832	-	0.3428877135230085
365696	365127	-	0.531927738399288
366934	366290	-	0.3107008394641082
372592	369404	-	0.6658824961047236
375301	373100	-	0.6272733055791206
375610	376602	+	0.36388341132874075
377255	378502	+	0.4870487441942319
383832	378874	-	1.0729315224538511
384820	387066	+	1.0729315224538511
387576	387505	-	0.3016556998611012
388401	387856	-	-0.034488376385290585
388858	390270	+	0.3016556998611012
390687	392117	+	0.017487426728841078
392339	392268	-	1.3573220014225562
394454	392922	-	0.7493493186220387
394613	395029	+	1.0059492663311866
396157	395219	-	0.7240843028694739
397179	398492	+	0.7240843028694739
