SEQ_NAME	START	END	STRAND	FEATURE_NAME	TXN_START	TXN_END	EXON_COUNT	EXON_STARTS	EXON_ENDS
chr0M	289505	289564	+	CAGL0M02497g	289505	289564	1	289505	289564
chr0C	127707	127766	+	CAGL0C01221g	127707	127766	1	127707	127766
chr0J	508908	508967	+	CAGL0J05302g, CAGL0J05324g	508908	508967	1	508908	508967
chr0K	1106413	1106472	+	CAGL0K11396g	1106413	1106472	1	1106413	1106472
chr0A	405485	405544	+	CAGL0A04103g, CAGL0A04125g	405485	405544	1	405485	405544
chr0B	237034	237093	+	CAGL0B02475g	237034	237093	1	237034	237093
chr0M	905528	905587	+	CAGL0M09086g	905528	905587	1	905528	905587
chr0B	319929	319988	+	CAGL0B03289g	319929	319988	1	319929	319988
chr0G	456519	456578	+	CAGL0G04785g, CAGL0G04807g	456519	456578	1	456519	456578
chr0L	389551	389610	+	CAGL0L03410g	389551	389610	1	389551	389610
chr0B	402311	402370	+	CAGL0B04125g	402311	402370	1	402311	402370
chr0K	27894	27953	+	CAGL0K00275g, CAGL0K00297g	27894	27953	1	27894	27953
chr0A	62460	62519	+	CAGL0A00539g	62460	62519	1	62460	62519
chr0K	50491	50550	+	CAGL0K00473g	50491	50550	1	50491	50550
chr0H	348572	348631	+	CAGL0H03751g, CAGL0H03773g	348572	348631	1	348572	348631
chr0J	1068020	1068079	+	CAGL0J10956g	1068020	1068079	1	1068020	1068079
chr0A	326002	326061	+	CAGL0A03234g	326002	326061	1	326002	326061
chr0A	343322	343381	+	CAGL0A03388g, CAGL0A03410g	343322	343381	1	343322	343381
chr0F	262828	262887	+	CAGL0F02717g	262828	262887	1	262828	262887
chr0G	638325	638384	+	CAGL0G06666g	638325	638384	1	638325	638384
chr0B	15735	15794	+	CAGL0B00286g, CAGL0B00308g	15735	15794	1	15735	15794
chr0C	391788	391847	+	CAGL0C03960g, CAGL0C03982g	391788	391847	1	391788	391847
chr0H	869202	869261	+	CAGL0H08888g	869202	869261	1	869202	869261
