These values were obtained using MochiView v1.46 -> Utilities -> Location/Data/Tiled Set -> Extract Peaks from data set(s) by using the default settings and changing the following parameters: 
			Smoothing Settings -> 0.5 used for minimum weight inclusion count for location, and deselect reduce spikes in data
			Peak-Finding Settings -> 1st Pass Settings -> 0.5 used for minimum value of peak inclusion (post-smoothing)
			

SEQ_NAME	START	END	STRAND	V5
chr0A	58147	58646	+	0.548
chr0A	271564	272063	+	0.744
chr0B	7226	7725	+	0.5
chr0B	107982	108481	+	0.538
chr0B	300445	300944	+	0.581
chr0B	369029	369528	+	0.52
chr0B	378707	379206	+	0.5
chr0B	419947	420446	+	0.531
chr0C	178345	178844	+	0.557
chr0C	183015	183514	+	0.525
chr0C	223415	223914	+	0.597
chr0C	360180	360679	+	0.561
chr0D	147077	147576	+	0.572
chr0D	220783	221282	+	0.562
chr0D	294383	294882	+	0.53
chr0D	519421	519920	+	0.67
chr0D	521449	521948	+	0.73
chr0E	13662	14161	+	0.5
chr0E	68917	69416	+	0.666
chr0E	474315	474814	+	0.591
chr0E	506130	506629	+	0.633
chr0F	98950	99449	+	0.552
chr0F	263036	263535	+	0.634
chr0F	392778	393277	+	0.542
chr0F	455277	455776	+	0.53
chr0F	523012	523511	+	0.5
chr0F	736149	736648	+	0.528
chr0G	469137	469636	+	0.516
chr0G	478905	479404	+	0.646
chr0G	560212	560711	+	0.676
chr0G	710444	710943	+	0.541
chr0H	70177	70676	+	0.54
chr0H	308652	309151	+	0.599
chr0H	444298	444797	+	0.824
chr0H	586074	586573	+	0.562
chr0H	590794	591293	+	0.814
chr0H	682214	682713	+	0.695
chr0I	33674	34173	+	0.541
chr0I	109246	109745	+	0.562
chr0I	220781	221280	+	0.664
chr0I	231322	231821	+	1.103
chr0I	445121	445620	+	0.545
chr0I	843242	843741	+	0.532
chr0I	972497	972996	+	0.586
chr0I	978232	978731	+	0.542
chr0J	48417	48916	+	0.853
chr0J	358607	359106	+	0.619
chr0J	610516	611015	+	0.562
chr0J	685005	685504	+	0.54
chr0J	737795	738294	+	0.65
chr0J	951082	951581	+	0.688
chr0J	1091007	1091506	+	0.51
chr0K	8251	8750	+	0.911
chr0K	85371	85870	+	0.571
chr0K	86338	86837	+	0.541
chr0K	154281	154780	+	0.748
chr0K	248901	249400	+	0.562
chr0K	318872	319371	+	0.66
chr0K	402789	403288	+	0.639
chr0K	449318	449817	+	0.615
chr0K	523128	523627	+	0.561
chr0K	568582	569081	+	0.525
chr0K	607835	608334	+	0.894
chr0K	923861	924360	+	0.741
chr0K	1054372	1054871	+	0.634
chr0K	1058483	1058982	+	0.649
chr0K	1122367	1122866	+	0.597
chr0K	1144401	1144900	+	0.695
chr0K	1145458	1145957	+	0.761
chr0K	1269635	1270134	+	0.646
chr0K	1282185	1282684	+	0.686
chr0L	101766	102265	+	0.5
chr0L	198155	198654	+	0.66
chr0L	586889	587388	+	0.662
chr0L	632665	633164	+	0.52
chr0L	683354	683853	+	0.644
chr0L	685928	686427	+	0.797
chr0L	833982	834481	+	0.53
chr0L	1340513	1341012	+	0.528
chr0M	223333	223832	+	0.52
chr0M	302624	303123	+	0.908
chr0M	628620	629119	+	0.652
chr0M	850728	851227	+	0.548
chr0M	1162434	1162933	+	0.951
chr0M	1352292	1352791	+	0.577
