Candida albicans SC5314	Candida albicans WO-1	Candida dubliniensis CD36 	Candida tropicalis MYA-3404	Candida parapsilosis CDC317	Candida orthopsilosis Co 90-125	Lodderomyces elongisporus NRLL YB-4239	Debaryomyces hansenii CBS767	Pichia stipitis Pignal	Candida tenuis NRRL Y-1498	Spathaspora passalidarum NRRL Y-27907	Candida guilliermondii ATCC 6260	Candida lusitaniae ATCC 42720	Saccharomyces cerevisiae S288C	Candida glabrata CBS138
orf19.6109	CAWG_01360	CD36_00070	---	CPAR2_109520	CORT0B10590	LELG_01447	DEHA2A13420g	PICST_63551	CANTEDRAFT_122819	SPAPADRAFT_57666	PGUG_01096	CLUG_03455	YCR084C	CAGL0E00561g
orf19.3291	CAWG_01271	CD36_00970	CTRG_04404	CPAR2_110080	CORT0B11190	LELG_05598	DEHA2B00924g	PICST_51802	CANTEDRAFT_115202	SPAPADRAFT_57792	PGUG_00048	CLUG_00020	YBR034C	CAGL0I04730g
orf19.997	CAWG_00380	CD36_09900	CTRG_03305	---	---	---	DEHA2B14982g	PICST_30847	CANTEDRAFT_114502	SPAPADRAFT_61426	PGUG_02352	CLUG_00229	---	
---	---	---	---	---	---	---	DEHA2G00242g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00253g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00264g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00286g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00330g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00352g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00374g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00396g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00418g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00440g	---	---	---	---	---	---	
orf19.998	CAWG_00379	CD36_09910	CTRG_03306	CPAR2_804080	CORT0A04220	LELG_00322	DEHA2B15004g	PICST_67344	---	SPAPADRAFT_50910	PGUG_02351	CLUG_00230	YPR171W	CAGL0I06446g
---	---	---	---	---	---	---	DEHA2G00462g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00484g	---	---	---	---	---	---	
---	---	---	---	---	---	---	DEHA2G00506g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G00528g	---	---	---	PGUG_05367	---	---
---	---	---	---	---	---	---	DEHA2G00539g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G00550g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G00572g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G00968g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G01276g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G01298g	---	---	---	---	---	---
orf19.999	CAWG_00378	CD36_09920	---	---	---	---	---	---	---	SPAPADRAFT_139122	---	---	---
---	---	---	---	---	---	---	DEHA2G01430g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G01672g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G02046g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G02068g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G02442g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G02574g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G02684g	PICST_52102	CANTEDRAFT_115865	SPAPADRAFT_62639	---	---	---
---	---	---	---	---	---	---	DEHA2G02904g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G03300g	---	---	---	PGUG_05278	---	---
---	---	---	---	---	---	---	DEHA2G03366g	PICST_31412	CANTEDRAFT_135884	---	---	---	---
orf19.1002	CAWG_00377	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G03388g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G03608g	PICST_27939	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G04554g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G04862g	PICST_31875	CANTEDRAFT_91525	---	PGUG_02950	CLUG_01556	---
---	---	---	---	---	---	---	DEHA2G05434g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G06182g	---	CANTEDRAFT_112334	SPAPADRAFT_59101	---	---	---
---	---	---	---	---	---	---	DEHA2G06358g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G06402g	PICST_80517	CANTEDRAFT_111872	SPAPADRAFT_57693	PGUG_00387	---	---
---	---	---	---	---	---	---	DEHA2G06424g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G06468g	---	---	---	---	---	---
orf19.1005	CAWG_00376	---	---	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G06512g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G06534g	PICST_41452	CANTEDRAFT_94401	SPAPADRAFT_141816	PGUG_02874	---	---
---	---	---	---	---	---	---	DEHA2G06600g	---	CANTEDRAFT_108957	---	PGUG_02871	---	---
---	---	---	---	---	---	---	DEHA2G06644g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G06666g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G06688g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G07172g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G07194g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G07678g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G07700g	---	---	---	---	---	---
orf19.1830	CAWG_00375	---	CTRG_03296	---	---	---	---	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G07942g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G08283g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G09086g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G09284g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G09658g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G10582g	---	---	---	---	---	---
---	---	---	---	---	---	---	DEHA2G10626g	---	---	---	PGUG_04781	---	---	
---	---	---	---	---	---	---	DEHA2G11275g	---	---	---	---	---	---	
