FEATURE_NAME	START	END	STRAND	Roetzer log2	Lelandais log2 Rep1	Lelandais log2 Rep2	Kuo log2 Rep1	Kuo log2 Rep2	Kuo log2 Rep3	Lelandais log2 Chip-Seq Rep1
CAGL0A00105g	2636.0	1608.0	-				0.3544497277244815	0.6613958836920738	1.0849417157902124	0.6328616083364743
CAGL0A00110g	4809.0	1608.0	-	0.36650022600000004			-0.45410757057110246	-0.22755207449978437	-0.15945254855459348	0.46712601042729796
CAGL0A00116g	4809.0	2671.0	-				-0.45410757057110246	-0.22755207449978437	-0.15945254855459348	0.46712601042729796
CAGL0A00132g	11739.0	12689.0	+				-0.5371557729432865	-0.36873401853249715	0.09002425137144739	-1.3410369178350672
CAGL0A00154g	15012.0	15233.0	+				0.3454805218682858	0.3571072702003915	0.2521343424019507	0.21931302840447595
CAGL0A00165g	18876.0	18037.0	-	-0.119233819	0.21783211029917396	-0.0291643947073142	-0.21459655492972354	-0.18337043083778248	0.04783576456637799	0.40363273600659455
CAGL0A00187g	21757.0	19487.0	-	0.581268896	-0.0288984218129041	-0.0039693550361399295	0.2248945320238743	0.21692190459614477	0.16543201912539063	0.9714308478032292
CAGL0A00209g	22260.0	24440.0	+	-0.002140085	0.10150977712755099	0.0364519395295168	0.2248945320238743	0.21692190459614477	0.16543201912539063	0.7031885821817817
CAGL0A00231g	25241.0	27622.0	+	0.17218841199999999	0.136832385642742	-0.0111167932854494	0.011626748332105629	0.12722984603418586	-0.07275022527803329	0.5215371205795226
CAGL0A00253g	28586.0	27915.0	-	0.418087462	-0.0149725832525656	0.12131332115216	0.19599375759835436	0.15015114988890868	0.14018536560424677	0.6520766965796931
CAGL0A00275g	29069.0	29869.0	+	0.195500333	-0.0685824555902496	0.102700637125399	0.3012988782062838	0.15015114988890868	0.14018536560424677	0.18359993833938887
CAGL0A00297g	30775.0	30179.0	-	-0.120564481	0.287131374846389	0.265372864621081	0.2428329437362663	0.6275122171242229	0.283360466493892	0.4384421036137876
CAGL0A00319g	30978.0	32507.0	+		0.32340474100531297	0.396718963259108	0.08537355203860532	0.6275122171242229	0.12523668917725359	0.4384421036137876
